OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
01/01/2022,13/12/2021,SO61285,529,23791,1,2,2
01/01/2022,24/09/2021,SO61285,214,23791,1,3,1
01/01/2022,04/09/2021,SO61285,540,23791,1,1,1
01/01/2022,28/09/2021,SO61301,529,16747,1,2,2
02/01/2022,20/09/2021,SO61318,215,18492,9,2,1
02/01/2022,16/10/2021,SO61327,223,15684,8,2,2
02/01/2022,05/09/2021,SO61327,214,15684,8,3,1
02/01/2022,16/11/2021,SO61327,358,15684,8,1,1
03/01/2022,12/11/2021,SO61400,528,14375,1,1,2
03/01/2022,12/10/2021,SO61400,215,14375,1,2,1
03/01/2022,18/11/2021,SO61386,480,27609,4,3,2
03/01/2022,08/12/2021,SO61386,530,27609,4,2,2
03/01/2022,20/09/2021,SO61386,541,27609,4,1,2
03/01/2022,14/12/2021,SO61377,223,18199,9,1,2
03/01/2022,28/10/2021,SO61373,478,11122,9,1,2
03/01/2022,19/10/2021,SO61398,528,23368,6,1,1
03/01/2022,08/11/2021,SO61420,223,13122,9,4,2
03/01/2022,21/09/2021,SO61420,485,13122,9,2,2
03/01/2022,04/10/2021,SO61420,362,13122,9,1,1
03/01/2022,18/09/2021,SO61420,487,13122,9,3,1
03/01/2022,05/12/2021,SO61419,387,24484,9,1,1
03/01/2022,25/10/2021,SO61425,214,13050,9,2,1
03/01/2022,31/10/2021,SO61425,579,13050,9,1,1
03/01/2022,28/09/2021,SO61376,484,13613,9,1,2
03/01/2022,27/09/2021,SO61413,477,11937,1,3,2
03/01/2022,04/10/2021,SO61413,478,11937,1,2,2
03/01/2022,09/12/2021,SO61413,362,11937,1,1,1
03/01/2022,03/12/2021,SO61416,477,17184,8,3,3
03/01/2022,28/11/2021,SO61416,479,17184,8,2,2
03/01/2022,11/10/2021,SO61416,214,17184,8,4,1
03/01/2022,13/12/2021,SO61416,573,17184,8,1,1
03/01/2022,02/11/2021,SO61415,485,12782,6,2,2
03/01/2022,12/09/2021,SO61415,223,12782,6,4,1
03/01/2022,15/10/2021,SO61415,232,12782,6,3,1
03/01/2022,05/10/2021,SO61415,356,12782,6,1,1
03/01/2022,01/11/2021,SO61394,464,16948,6,4,3
03/01/2022,09/11/2021,SO61394,478,16948,6,1,2
03/01/2022,18/10/2021,SO61394,215,16948,6,2,1
03/01/2022,05/10/2021,SO61394,229,16948,6,3,1
03/01/2022,30/09/2021,SO61410,484,14648,4,3,2
03/01/2022,11/09/2021,SO61410,485,14648,4,2,2
03/01/2022,26/09/2021,SO61410,362,14648,4,1,1
03/01/2022,10/12/2021,SO61379,529,16436,7,2,3
03/01/2022,02/12/2021,SO61379,220,16436,7,4,1
03/01/2022,06/11/2021,SO61379,377,16436,7,1,1
03/01/2022,29/09/2021,SO61379,540,16436,7,3,1
03/01/2022,14/11/2021,SO61372,484,12139,1,1,2
03/01/2022,06/11/2021,SO61404,485,16314,10,1,3
03/01/2022,13/10/2021,SO61404,232,16314,10,2,1
03/01/2022,21/10/2021,SO61388,535,14265,6,1,3
03/01/2022,26/10/2021,SO61388,480,14265,6,2,1
03/01/2022,10/11/2021,SO61407,529,20974,7,1,3
03/01/2022,06/12/2021,SO61407,480,20974,7,2,2
03/01/2022,10/10/2021,SO61407,483,20974,7,3,1
03/01/2022,15/11/2021,SO61380,480,15927,8,3,2
03/01/2022,06/12/2021,SO61380,362,15927,8,1,1
03/01/2022,26/10/2021,SO61380,537,15927,8,2,1
03/01/2022,21/09/2021,SO61418,529,24585,9,2,2
03/01/2022,20/11/2021,SO61418,539,24585,9,3,2
03/01/2022,14/12/2021,SO61418,215,24585,9,4,1
03/01/2022,22/11/2021,SO61418,385,24585,9,1,1
03/01/2022,05/11/2021,SO61389,540,25194,1,1,1
03/01/2022,18/09/2021,SO61409,528,15155,4,3,3
03/01/2022,11/10/2021,SO61409,481,15155,4,5,2
03/01/2022,06/09/2021,SO61409,485,15155,4,4,2
03/01/2022,19/10/2021,SO61409,360,15155,4,1,1
03/01/2022,18/10/2021,SO61409,537,15155,4,2,1
03/01/2022,29/10/2021,SO61385,480,11262,6,1,2
03/01/2022,09/12/2021,SO61385,484,11262,6,2,2
03/01/2022,02/10/2021,SO61399,528,15939,1,1,2
03/01/2022,05/10/2021,SO61399,215,15939,1,2,1
03/01/2022,22/10/2021,SO61387,530,28253,4,1,3
03/01/2022,29/11/2021,SO61387,223,28253,4,2,1
03/01/2022,10/10/2021,SO61381,362,12623,10,1,1
03/01/2022,18/11/2021,SO61381,537,12623,10,2,1
03/01/2022,23/09/2021,SO61395,477,17699,1,1,2
03/01/2022,12/12/2021,SO61395,484,17699,1,3,2
03/01/2022,08/12/2021,SO61395,487,17699,1,2,1
03/01/2022,14/11/2021,SO61427,606,27512,9,1,1
03/01/2022,09/12/2021,SO61374,215,13046,9,1,1
03/01/2022,18/09/2021,SO61382,477,15697,8,4,2
03/01/2022,22/10/2021,SO61382,478,15697,8,3,2
03/01/2022,06/10/2021,SO61382,485,15697,8,2,2
03/01/2022,11/12/2021,SO61382,362,15697,8,1,1
03/01/2022,14/09/2021,SO61391,530,16497,6,2,2
03/01/2022,07/11/2021,SO61391,541,16497,6,1,2
03/01/2022,11/11/2021,SO61401,223,20740,6,2,2
03/01/2022,11/11/2021,SO61401,485,20740,6,1,2
03/01/2022,28/10/2021,SO61401,226,20740,6,3,1
03/01/2022,24/10/2021,SO61375,215,13150,9,1,1
03/01/2022,29/09/2021,SO61383,485,14429,10,2,3
03/01/2022,18/12/2021,SO61383,356,14429,10,1,1
03/01/2022,20/11/2021,SO61383,487,14429,10,3,1
03/01/2022,02/12/2021,SO61417,387,17734,9,1,1
03/01/2022,31/10/2021,SO61397,477,25002,6,1,2
03/01/2022,17/09/2021,SO61414,220,14449,1,2,1
03/01/2022,12/10/2021,SO61414,354,14449,1,1,1
03/01/2022,12/11/2021,SO61423,529,13559,8,2,2
